date,cloud computing,isPartial
2024-08-18,64,False
2024-08-25,70,False
2024-09-01,68,False
2024-09-08,68,False
2024-09-15,70,False
2024-09-22,78,False
2024-09-29,66,False
2024-10-06,68,False
2024-10-13,70,False
2024-10-20,76,False
2024-10-27,55,False
2024-11-03,65,False
2024-11-10,78,False
2024-11-17,82,False
2024-11-24,76,False
2024-12-01,82,False
2024-12-08,76,False
2024-12-15,67,False
2024-12-22,52,False
2024-12-29,56,False
2025-01-05,73,False
2025-01-12,59,False
2025-01-19,80,False
2025-01-26,66,False
2025-02-02,67,False
2025-02-09,66,False
2025-02-16,69,False
2025-02-23,70,False
2025-03-02,72,False
2025-03-09,67,False
2025-03-16,71,False
2025-03-23,65,False
2025-03-30,64,False
2025-04-06,70,False
2025-04-13,57,False
2025-04-20,81,False
2025-04-27,80,False
2025-05-04,80,False
2025-05-11,76,False
2025-05-18,72,False
2025-05-25,58,False
2025-06-01,69,False
2025-06-08,84,False
2025-06-15,88,False
2025-06-22,82,False
2025-06-29,68,False
2025-07-06,68,False
2025-07-13,78,False
2025-07-20,79,False
2025-07-27,84,False
2025-08-03,91,False
2025-08-10,100,False
2025-08-17,94,True
